"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","Enteric glia cells","Fibroblasts","gdTcells","IL17+ CD4 Tcells","Lymphatic ECs","Mast cells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative CD4 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs","VSMCs"
"HSH2D",5,6,0,1,0,0,2,1,1,0,10,0,0,2,1,1,1,0,2,3,1,6,197,1,0
"FAM32A",90,378,1,3,0,33,1,0,8,2,21,0,1,2,3,2,1,55,0,19,1,29,598,84,15
"CTD-2562J15.4",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"AP1M1",39,116,1,0,0,13,1,1,5,1,8,0,1,0,3,0,1,13,0,10,5,10,96,31,5
"CTD-2562J15.6",4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,7,2,0
"KLF2",83,228,2,2,0,33,2,0,21,2,4,2,5,2,5,0,0,11,5,31,2,4,157,161,18
"CTD-2013N17.7",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
"EPS15L1",11,49,3,0,0,3,0,0,1,0,4,3,0,0,1,0,1,12,1,5,0,3,129,14,1
"C19orf44",2,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,3,0
"CHERP",24,56,0,0,0,6,0,1,1,0,7,1,0,0,4,0,0,4,0,3,1,6,190,13,3
"CTD-3222D19.12",0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,1,1
"SLC35E1",39,79,0,0,0,9,0,1,2,2,2,1,1,0,2,1,1,3,2,7,0,9,166,18,3
"CTD-3222D19.8",0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,2,0,0,0,2,16,1,0
"MED26",9,12,0,3,0,1,0,0,0,0,3,0,0,0,0,0,1,3,0,2,0,6,35,4,2
"CTC-429P9.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"CTC-429P9.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"SMIM7",86,394,0,5,2,52,1,2,7,5,34,4,3,4,3,0,2,40,3,27,7,33,835,59,22
"TMEM38A",1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18,2,0
"NWD1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"SIN3B",22,40,0,1,0,2,0,0,4,0,0,0,0,1,0,0,0,7,0,3,0,4,55,41,0
"F2RL3",3,8,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,8,317,1
"CPAMD8",0,7,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
"HAUS8",8,20,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,4,73,6,0
"MYO9B",140,136,0,4,1,12,0,4,2,1,5,1,2,2,2,1,0,20,0,16,0,6,122,43,6
