"","GSM1621305","GSM1621306","GSM1621307","GSM1621308","GSM1621309","GSM1621310","GSM1621311"
"366",1,0,0,0,1,1,1
"1583",0,0,0,0,0,0,0
"2628",0,0,0,0,0,0,0
"1584",0,0,0,0,0,0,0
"1585",1,0,0,0,1,1,1
"11283",0,0,0,0,0,0,0
"9380",1,1,1,1,1,1,1
"1586",0,0,0,0,0,0,0
"2713",0,0,0,0,0,1,1
"4047",0,1,0,0,1,0,0
"1588",0,0,0,0,0,0,0
"29124",0,0,0,0,0,0,0
"5321",0,0,0,0,0,0,0
"2710",0,0,0,0,0,1,1
"1576",0,0,0,0,1,1,0
"2712",0,0,0,0,0,0,0
"1178",0,0,0,0,0,0,0
"51268",0,1,0,1,0,1,0
"1056",0,0,1,0,0,1,1
"3029",1,1,1,1,1,1,1
"6536",0,0,0,0,0,0,0
"1589",0,0,1,0,0,1,0
"1593",0,1,0,1,1,0,0
"3990",0,0,0,1,1,1,1
"1548",0,1,0,1,0,1,1
"80339",0,0,0,0,0,0,0
"4023",0,0,0,1,0,1,0
"5226",0,0,0,1,0,1,1
"1553",1,0,0,1,1,0,1
"11343",0,0,1,1,1,1,0
"1562",0,0,0,0,0,0,0
"27232",1,0,1,1,1,0,0
"1558",0,0,0,0,0,0,0
"57678",0,0,1,0,0,0,1
"50487",1,0,0,1,1,1,1
"284098",1,1,1,0,1,0,0
"1559",0,0,0,0,0,0,0
"93183",0,0,1,0,0,0,1
"9227",0,0,0,0,0,0,0
"1565",0,0,0,0,1,1,1
"54965",1,1,0,1,0,0,1
"1572",0,0,0,0,0,0,0
"51302",0,0,0,0,0,0,0
"2936",1,1,1,1,1,1,1
"6309",0,1,0,1,1,1,0
"64816",0,0,0,0,0,0,0
"4048",1,1,1,1,1,1,1
"1577",0,0,0,0,0,0,0
"4056",1,0,0,0,1,0,1
"5052",1,1,1,1,1,1,1
"7001",1,1,1,1,1,1,1
"1551",0,0,0,0,0,0,0
"4259",1,1,0,1,1,0,1
"10858",1,1,0,0,0,1,0
"2876",1,1,1,1,1,1,1
"66002",0,0,0,0,0,0,0
"8529",0,1,0,0,0,0,0
"2879",1,1,1,1,1,1,1
"4258",1,0,1,1,1,0,1
"4051",0,0,0,0,0,0,0
"9420",0,1,0,0,0,1,0
"1582",0,0,0,0,0,0,0
"2877",0,1,0,1,0,1,0
"5831",0,1,0,1,1,0,1
"2878",0,0,0,0,0,0,0
"2954",1,0,1,0,1,0,0
"257202",NA,NA,NA,NA,NA,NA,NA
"2882",1,0,1,1,1,0,0
"5048",1,1,1,1,1,1,0
"2548",0,0,1,1,1,0,1
"10935",0,0,0,0,1,1,1
"5051",0,1,1,0,0,1,1
"5050",1,0,1,1,1,0,0
"2937",1,1,1,1,1,1,1
"5049",0,0,0,1,0,1,1
"64087",0,0,1,1,1,0,1
"7941",0,0,0,0,0,0,0
"56922",1,1,1,1,1,0,0
"23417",0,1,1,1,0,0,1
"2678",0,1,0,1,1,0,0
"347734",1,1,1,1,1,1,1
"57194",1,0,0,1,1,0,1
"5337",0,0,0,0,0,0,0
"4357",1,1,1,1,1,1,1
"5338",1,1,1,0,1,0,1
"2679",0,1,0,1,1,0,1
"4190",1,1,1,1,1,1,1
"130013",0,0,0,0,0,0,0
"4191",1,1,1,1,1,1,1
"4200",0,0,1,0,1,1,0
"4881",0,0,1,1,1,0,0
"5091",1,1,1,0,1,0,0
"4882",1,0,1,0,0,0,0
"2984",0,0,0,0,0,0,0
"2974",1,0,0,1,0,0,1
"2982",0,0,0,0,0,0,0
"2986",0,0,0,0,0,0,0
"4199",0,0,0,0,0,0,0
"10873",0,1,0,1,1,0,0
"3620",0,1,1,1,0,0,0
"2983",0,0,0,0,0,0,0
"3000",1,1,0,0,1,0,0
"1557",0,0,0,0,0,0,0
"1545",0,0,0,0,0,0,0
"5244",0,0,0,0,0,0,0
