"","GSM1209561","GSM1209562","GSM1209563","GSM2460434","GSM2460438","GSM2460442","GSM2460446","GSM2460450","GSM2460454","GSM2607420","GSM2607421","GSM2607422","GSM2607423","GSM2607424","GSM2607425"
"55089",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2875",0,0,1,1,1,0,0,0,0,1,1,1,1,0,0
"84706",1,0,1,1,1,0,0,0,0,1,0,1,0,0,1
"92745",0,1,0,0,0,1,0,1,0,1,0,0,1,0,0
"10991",1,1,0,0,1,0,0,0,1,1,1,1,0,0,0
"284273",0,0,1,0,1,0,1,1,1,1,0,0,1,1,0
"10327",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"8854",0,1,0,1,1,0,0,0,0,1,1,1,0,0,1
"224",0,1,0,0,0,1,1,1,1,1,0,0,1,1,1
"223",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"216",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"501",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"217",1,1,0,0,1,1,0,0,0,1,1,0,0,0,1
"219",1,0,1,1,1,0,0,0,0,1,0,1,0,0,0
"239",0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
"247",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"246",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"231",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"8574",0,0,1,0,0,1,1,0,0,0,1,0,1,1,0
"23600",0,1,1,0,0,1,0,1,1,1,0,1,1,0,0
