"","Anti-inflammatory macro/mono","CD8aa IELs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","IL17+ CD4 Tcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive CD4 Tcells","NK cells","NKT cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"RP11-649A18.12",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"SLC25A19",3,0,3,0,2,0,1,2,2,1,0,3,2,499,0
"GRB2",72,0,5,1,15,3,15,7,10,0,1,13,16,1154,2
"RP11-16C1.3",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"TMEM94",1,0,1,0,1,0,2,0,0,0,0,1,0,410,1
"CASKIN2",0,0,0,0,1,0,0,0,0,0,0,0,0,159,6
"TSEN54",2,1,9,1,11,0,19,3,0,0,1,2,5,977,2
"LLGL2",1,0,1,0,6,1,4,1,3,0,1,2,1,7036,2
"MYO15B",2,0,1,0,0,0,0,1,0,0,1,1,0,1547,1
"RECQL5",0,0,0,0,1,0,1,0,0,0,0,0,0,141,1
"SMIM5",0,0,0,0,1,0,0,1,0,0,0,0,0,191,1
"SMIM6",1,0,0,0,0,0,0,1,0,0,0,0,0,357,0
"SAP30BP",7,1,2,2,3,3,4,4,1,0,1,2,10,935,6
"RP11-474I11.7",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"ITGB4",2,0,2,0,1,0,1,0,1,0,0,0,1,3399,5
"GALK1",23,0,1,0,5,0,4,1,2,0,2,4,2,1261,3
"H3F3B",684,32,244,110,277,106,640,144,175,41,38,329,449,34472,97
"UNK",1,0,2,0,5,4,8,1,3,0,1,1,1,377,0
"UNC13D",7,0,5,1,3,1,17,2,2,1,0,3,12,255,0
"WBP2",16,1,11,2,6,6,22,6,3,0,0,7,9,1059,5
"TRIM47",0,0,0,0,0,0,0,0,0,0,0,0,0,672,4
"RP11-552F3.9",0,0,0,0,0,0,0,0,0,0,0,0,0,26,0
"TRIM65",3,0,1,0,1,1,4,1,0,0,0,0,0,296,1
"RP11-552F3.10",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"MRPL38",0,1,1,0,0,0,0,0,0,0,0,0,0,68,0
