"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","IL17+ CD4 Tcells","IL22+ CD4 Tcells","LTi cells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","Plasma cells","Pro-inflammatory macro/mono","Proliferative Bcells","Regulatory CD4 Tcells","Vascular ECs"
"KAT6B",1,2,2,0,0,0,0,29,1,1,0,0,0,0,8,1,1,0,0,0,2,0,98,15,0,1,1,2
"SAMD8",2,0,4,0,0,1,3,35,0,1,0,0,0,1,9,0,1,0,2,0,1,0,31,5,0,0,0,1
"VDAC2",63,13,93,0,4,4,48,580,17,6,1,3,8,20,196,43,12,2,51,1,3,27,7017,290,5,39,16,71
"COMTD1",7,2,5,0,0,1,6,33,7,0,0,0,0,0,30,8,1,0,6,1,0,5,2842,43,4,10,0,3
"ZNF503-AS1",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,1,0,3
"ZNF503",12,0,21,0,0,0,18,231,0,0,0,0,0,0,1,0,4,0,0,0,0,0,146,1,0,0,0,19
"ZNF503-AS2",0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0
"RP11-399K21.13",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
"C10orf11",25,0,8,0,0,0,3,50,0,0,0,0,5,0,0,0,1,0,0,0,0,0,282,1,1,0,0,35
"KCNMA1",7,0,10,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,2,0,0,0,0
"DLG5",0,0,0,0,0,0,2,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0
"POLR3A",0,1,0,0,0,0,1,16,0,2,0,0,0,0,4,1,1,0,0,0,0,0,134,3,0,0,0,2
"RPS24",397,126,889,4,14,52,94,3499,94,38,23,26,74,183,1405,274,38,27,426,12,50,146,39834,957,60,249,101,500
"ZMIZ1",5,0,8,0,0,0,0,23,0,0,0,0,0,1,1,1,0,0,2,0,0,0,152,0,0,0,1,8
"PPIF",33,3,67,0,1,0,1,37,0,1,0,0,0,4,17,2,1,0,5,0,0,1,1578,36,4,10,3,4
"ZCCHC24",3,0,2,0,0,0,4,79,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,3
"EIF5AL1",1,0,1,0,0,0,0,4,0,0,0,0,0,0,4,2,0,1,1,0,0,0,77,2,0,0,0,1
"SFTPA2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
"RP11-506M13.3",1,0,4,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,1,18,0,0,2,0,0
