"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","Follicular CD4 Tcells","gdTcells","IL22+ CD4 Tcells","LTi cells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative Bcells","Proliferative CD4 Tcells","Regulatory CD4 Tcells","Vascular ECs"
"RP11-108M9.4",65,0,6,0,0,1,2,27,0,1,0,1,1,40,9,2,2,20,42,1,1,1,24,1,49,3,15,1,2,5
"RP11-108M9.6",1,1,0,0,0,0,0,9,0,0,0,0,0,3,2,0,5,1,14,0,0,0,4,0,21,0,4,1,1,1
"MFAP2",0,0,0,0,0,0,0,61,0,0,0,0,0,2,0,1,3,0,0,0,0,0,1,0,7,0,0,0,0,1
"ATP13A2",76,0,1,0,0,0,1,10,0,1,0,0,0,15,16,3,0,5,16,1,0,0,14,0,67,6,9,1,7,2
"SDHB",419,16,47,1,3,6,21,141,0,6,0,0,0,137,59,25,16,37,176,3,5,2,324,3,600,19,106,17,17,24
"PADI2",13,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,2,0,0,1,88,0,12,1,3,0,0,1
"PADI4",0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,3,0,2,22,1,1,0,0,0,2,1,10,0,0,0
"RCC2",114,2,14,0,0,0,1,24,0,1,0,0,0,35,6,6,0,10,41,0,0,0,16,0,73,4,41,9,2,6
"ARHGEF10L",9,0,2,0,0,0,1,5,0,0,0,0,0,2,0,0,0,0,0,0,1,1,36,0,5,1,1,0,0,0
"IGSF21",30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,0
"ALDH4A1",7,1,2,0,0,0,0,6,0,1,0,0,0,2,1,0,1,0,2,0,0,0,5,0,16,0,1,1,0,2
"IFFO2",9,0,3,1,0,0,2,1,0,0,0,0,0,9,9,5,0,3,27,0,1,0,1,0,71,0,4,1,1,2
"UBR4",33,1,2,0,0,0,2,15,1,4,0,0,0,19,15,5,0,5,29,0,2,2,15,0,43,1,11,0,6,3
"RP1-43E13.2",9,0,2,0,0,0,2,10,0,0,0,0,0,7,2,1,1,1,12,0,1,0,4,0,101,1,2,0,0,1
"EMC1",53,2,6,0,0,3,2,44,1,1,0,0,0,21,9,4,6,4,22,0,0,0,11,2,65,2,10,1,5,4
"MRTO4",56,1,10,0,1,1,4,71,0,2,1,1,0,55,23,13,5,20,84,2,2,1,31,1,159,4,27,5,12,10
"AKR7A3",2,0,1,0,0,0,0,3,0,0,0,0,0,2,1,0,5,1,3,0,0,1,135,0,6,0,0,0,0,0
"AKR7A2",202,7,32,2,2,1,11,338,0,14,0,1,1,148,61,24,77,40,146,1,6,4,211,9,634,13,80,9,16,23
"PQLC2",25,0,3,0,0,0,0,20,0,0,0,0,0,17,2,3,0,0,8,0,0,0,7,0,42,0,6,0,0,4
"CAPZB",1863,47,186,11,11,12,23,822,3,38,5,4,6,426,390,176,85,164,834,18,19,21,276,1,1029,78,385,46,114,83
"MINOS1",1312,34,128,5,5,5,19,527,1,26,2,3,4,389,344,126,96,137,643,18,15,14,886,9,1779,55,301,39,73,44
"NBL1",197,6,7,1,0,2,4,1165,0,4,2,1,1,36,75,26,142,11,79,5,4,5,312,2,312,2,9,2,6,34
"TMCO4",47,2,10,0,1,0,0,16,0,0,0,1,0,17,11,3,2,5,14,1,0,0,20,0,73,0,5,0,3,0
"RNF186",4,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,4,1,0,0,139,0,10,0,0,0,1,2
"RP11-91K11.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
"OTUD3",3,0,1,0,0,0,0,4,1,1,0,0,0,5,4,5,0,1,6,1,0,0,9,0,21,0,4,1,2,0
"PLA2G2A",1,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,1,0,243,0,19,0,1,0,0,0
"PLA2G2D",63,0,0,0,0,0,2,2,0,0,0,0,0,11,2,0,0,4,6,0,0,0,0,0,45,2,2,0,0,0
"UBXN10",1,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,2,0,1,0,1,1,6,0,4,0,1,0,1,1
"CAMK2N1",8,1,0,0,0,0,3,30,0,0,0,0,0,1,1,3,1,0,6,0,0,0,240,0,8,1,0,0,0,1
"MUL1",45,0,5,0,0,0,4,59,0,1,0,0,0,32,10,7,5,8,44,4,0,0,14,1,135,1,16,1,3,6
"CDA",2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,16,0,2,1,0,0,0,8
"PINK1",48,0,3,0,0,0,3,74,0,1,0,0,1,8,9,8,8,4,19,0,0,1,31,1,245,2,8,1,3,22
"PINK1-AS",6,0,0,0,0,0,0,4,0,0,0,0,0,2,2,0,0,1,4,0,0,0,2,0,14,0,0,0,0,1
"DDOST",291,22,45,1,5,2,13,286,0,5,0,3,2,149,99,55,24,43,222,6,4,5,196,4,2932,11,66,7,21,21
"KIF17",37,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,14,0,0,0,0,5
"HP1BP3",183,31,30,1,2,2,15,185,1,10,3,2,0,194,116,49,25,49,412,14,7,5,122,4,681,5,120,19,32,22
"EIF4G3",58,1,12,0,1,0,6,28,0,1,0,0,0,59,10,10,4,9,38,0,1,1,35,0,76,2,20,2,5,3
"ECE1",11,4,2,0,0,0,1,98,0,1,0,0,1,32,14,5,5,7,40,1,1,2,23,1,123,0,13,0,6,30
"RP5-1071N3.1",1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,2,2,0,0,0,0,0,31,0,1,0,0,0
"NBPF3",2,0,1,0,0,0,0,17,0,0,0,0,0,2,2,2,3,1,5,0,0,0,2,0,7,0,1,0,0,1
"ALPL",3,0,0,0,0,0,0,28,0,0,0,0,0,12,2,0,0,2,2,0,0,0,0,0,3,0,3,0,0,8
"RAP1GAP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,2,0,0,0,0,0
"USP48",72,9,12,1,2,2,8,64,2,0,0,1,2,90,38,16,14,19,110,2,6,0,46,4,850,4,48,5,9,10
"LDLRAD2",3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,34,0,0,0,0,0
"HSPG2",17,0,2,0,0,0,18,43,0,0,0,0,0,8,9,2,7,2,12,1,0,1,23,0,83,0,1,0,1,129
"CELA3B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
"CELA3A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"RP1-224A6.3",6,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,1,0,0,0,0,0,16,0,1,0,0,0
"LINC00339",26,1,4,0,0,0,0,13,0,0,0,0,0,17,2,5,0,5,25,0,2,0,8,0,64,0,15,2,1,2
"CDC42",1197,52,144,4,10,14,23,328,4,29,6,7,8,481,291,134,32,129,778,29,13,13,511,9,1225,56,220,47,78,77
"WNT4",0,0,0,0,0,0,0,55,0,0,0,0,0,1,1,0,2,0,1,0,0,0,5,0,9,0,0,0,0,0
"ZBTB40",16,2,8,0,0,0,1,8,0,0,0,0,0,8,9,2,2,6,12,0,0,2,7,0,44,1,7,0,1,3
"C1QA",12586,23,832,7,3,4,12,233,0,12,4,1,4,115,169,96,21,34,174,6,9,7,29,3,2303,365,47,6,20,21
"C1QC",9386,8,625,0,3,2,10,120,0,13,1,0,3,60,96,43,13,23,97,2,6,2,12,1,1306,299,31,1,14,14
"C1QB",12922,16,651,1,5,2,11,205,1,15,1,3,3,104,158,57,20,34,143,5,7,10,32,0,2036,370,36,7,16,24
"EPHB2",90,1,7,0,0,1,0,11,0,0,0,0,0,2,1,2,0,1,9,0,0,0,61,0,31,2,1,0,0,1
"KDM1A",29,2,5,0,1,1,5,31,0,1,0,0,0,28,10,2,4,9,25,0,0,0,19,0,72,0,20,1,0,4
"LUZP1",90,6,21,0,0,0,4,121,0,1,2,1,0,43,63,19,9,15,129,2,2,3,71,1,91,3,7,5,12,39
"HNRNPR",280,22,48,3,2,8,21,254,2,14,3,4,3,218,126,57,29,86,318,10,6,5,189,7,703,12,168,31,37,29
"ZNF436",4,0,0,0,0,0,0,9,0,0,0,0,0,1,1,0,1,0,1,0,0,0,2,0,10,0,1,0,2,4
"RP5-1057J7.7",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0
"TCEA3",14,2,1,0,0,0,3,45,0,0,0,0,0,3,6,1,3,3,69,1,0,0,442,0,62,0,4,3,1,3
"ASAP3",0,0,0,0,0,0,0,12,0,1,0,0,0,1,0,0,0,0,0,0,0,0,21,0,9,0,4,0,0,3
"E2F2",21,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3,0,0,0,12,0,15,0,15,2,0,1
"RP1-150O5.3",0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,58,0,1,0,0,0
"ID3",468,7,33,1,0,1,204,1577,0,15,0,0,0,247,52,43,53,73,235,13,7,8,827,48,1520,9,136,4,11,298
"MDS2",0,0,0,0,0,0,0,2,0,0,0,0,0,19,7,1,0,8,52,0,0,1,0,0,34,0,3,2,2,0
"RPL11",12216,1240,2992,88,172,276,259,8504,93,607,106,147,95,30345,10455,3716,593,8379,44565,1491,427,441,7655,57,68996,864,8065,769,2622,1106
"TCEB3",90,3,9,0,0,0,2,44,0,2,0,0,1,49,24,9,5,11,57,2,2,1,25,0,139,4,15,3,9,8
"PITHD1",207,10,27,1,2,5,14,123,3,6,1,2,2,141,80,37,6,40,212,5,11,3,64,5,571,9,58,16,33,19
"LYPLA2",114,9,21,2,3,1,4,51,0,6,1,1,0,88,52,38,7,17,109,4,2,3,66,1,214,4,46,9,17,12
"GALE",46,1,2,1,0,0,0,12,0,1,0,0,0,19,5,2,3,3,16,0,0,0,125,0,83,1,6,2,0,3
"HMGCL",87,6,24,0,1,2,8,108,2,2,2,1,0,85,33,24,12,26,99,3,2,4,177,2,236,2,38,4,11,20
"FUCA1",3583,7,24,1,0,0,8,100,1,4,2,1,0,61,46,20,16,23,81,5,1,3,170,2,648,8,33,4,10,21
"CNR2",4,1,2,0,0,0,0,1,0,0,1,0,0,57,2,2,1,17,8,1,0,0,1,0,17,1,14,1,2,0
"PNRC2",25,2,3,0,0,0,1,17,0,1,0,0,1,15,3,5,0,4,14,1,0,0,14,0,29,0,10,0,3,2
"SRSF10",74,6,17,1,0,1,4,51,0,2,1,0,1,95,51,29,4,21,145,5,0,2,41,1,239,2,83,7,9,4
"RP11-293P20.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"MYOM3",1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,7,0,3,0,0,0
"IL22RA1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"IFNLR1",5,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,1,3,6,1,0,0,5,0,41,0,11,0,0,0
"STPG1",4,1,0,1,0,0,0,7,0,1,0,0,0,10,6,5,0,9,18,2,0,0,15,0,87,0,6,1,1,2
"NIPAL3",18,4,4,0,0,0,1,17,1,4,0,0,0,46,32,19,0,20,136,4,3,3,34,0,111,0,20,2,9,9
"RCAN3",55,31,10,1,2,6,4,26,2,15,4,2,0,136,209,61,6,44,697,21,6,7,19,0,234,1,37,8,46,2
"RP4-594I10.3",5,4,3,0,0,1,1,3,0,1,0,0,0,17,30,10,0,6,100,1,0,1,3,0,22,1,6,0,4,0
"NCMAP",3,1,2,0,0,0,0,5,0,0,0,1,0,6,4,2,0,1,12,0,1,1,3,0,36,0,1,0,0,0
"SRRM1",447,32,96,8,5,8,16,279,1,27,8,3,4,406,222,120,29,139,621,22,7,11,225,5,1057,23,231,29,58,37
"CLIC4",148,1,9,0,0,0,28,76,0,1,0,0,0,38,12,3,19,19,18,1,0,0,12,5,565,0,103,0,1,48
"RUNX3",397,44,91,12,2,8,4,24,0,42,5,4,0,201,259,179,3,30,238,20,26,17,4,0,310,29,53,10,23,1
"SYF2",257,25,64,1,9,8,18,469,6,23,0,1,9,566,220,106,51,204,804,26,20,8,226,5,1286,23,301,19,67,55
"RP3-465N24.6",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0
"TMEM50A",426,34,70,5,3,8,50,489,4,26,10,3,5,248,225,87,42,91,425,21,10,19,314,13,1112,23,133,19,64,72
"RHCE",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0
"TMEM57",55,2,4,0,0,0,3,26,0,1,1,0,0,57,24,17,5,10,65,3,1,2,20,0,246,3,18,1,3,20
"LDLRAP1",16,4,3,0,0,1,9,35,0,3,0,2,0,36,30,23,0,6,206,14,2,2,36,0,237,1,7,3,4,4
"RP11-70P17.1",5,0,1,0,0,0,0,4,0,0,0,0,0,2,1,2,0,2,11,0,0,0,1,0,60,0,2,1,0,0
"MAN1C1",35,2,1,0,0,0,1,60,0,0,0,0,0,12,13,4,3,3,92,1,0,1,1,1,27,0,1,0,5,2
"RP1-187B23.1",6,7,1,0,0,2,2,19,0,4,0,1,0,8,33,23,3,2,170,7,1,5,2,0,70,0,2,0,4,1
"SEPN1",88,0,8,0,0,0,2,46,0,1,0,0,1,13,10,2,1,4,26,1,0,0,6,0,41,3,2,0,5,12
"RP1-317E23.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
"MTFR1L",71,1,14,0,0,0,2,107,0,1,0,3,0,33,16,7,14,11,38,1,0,2,48,1,177,2,23,1,7,11
"AUNIP",10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,5,0,5,1,1,0
"PAQR7",17,0,1,0,0,0,1,21,0,0,0,0,0,7,2,0,1,3,6,0,0,0,6,1,28,1,0,0,0,0
"STMN1",894,10,104,3,1,1,45,209,6,7,1,5,10,242,82,42,19,103,477,17,8,6,449,12,917,24,2004,261,27,20
"PAFAH2",23,3,1,0,0,0,0,16,0,0,0,0,0,15,8,2,1,5,26,0,0,2,17,0,34,3,1,0,2,1
"SLC30A2",11,0,0,0,0,0,1,2,0,0,0,0,0,2,1,0,0,0,4,0,0,0,3,0,6,0,1,1,0,0
"PDIK1L",9,1,2,0,0,0,0,5,0,0,0,0,0,9,5,0,1,0,8,1,0,0,12,0,31,0,1,0,1,0
"FAM110D",2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,46
"ZNF593",223,4,38,0,3,0,5,97,0,10,0,1,1,126,51,27,13,35,126,3,0,5,90,1,957,8,76,14,13,14
"CNKSR1",2,0,1,0,0,0,1,0,0,0,0,0,0,6,2,1,0,0,13,0,1,0,13,0,85,0,1,0,3,0
"CEP85",17,1,0,0,0,0,0,1,0,1,0,1,0,5,5,2,0,2,10,0,0,0,3,0,16,1,7,1,1,0
"SH3BGRL3",3585,291,922,34,50,58,38,709,11,196,28,27,25,2028,2025,1024,48,590,3167,115,98,132,1246,9,5427,310,888,124,348,181
"UBXN11",54,1,11,0,0,0,1,23,0,0,0,0,1,48,39,14,2,9,50,7,2,0,23,0,98,6,20,1,2,2
"CD52",977,326,398,30,34,76,14,246,20,164,46,69,13,6280,2148,1189,23,2729,6269,233,91,119,89,1,3173,117,1969,76,509,58
"AIM1L",0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,2,0,0,0,4,0,2,1,1,0,0,0
"ZNF683",4,0,0,0,0,0,0,1,0,1,0,0,0,1,4,57,0,1,0,0,0,5,0,0,14,0,0,0,0,0
"LIN28A",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
"DHDDS",39,2,5,0,2,2,0,27,0,0,0,1,1,28,10,6,1,11,37,0,1,0,27,0,143,2,16,2,6,4
"HMGN2",1900,50,321,10,12,14,36,1021,7,50,4,10,10,1060,489,219,102,377,1475,56,20,24,1032,10,3855,74,3127,299,151,80
"RPS6KA1",125,6,20,1,3,3,0,5,1,3,1,0,1,86,29,13,1,31,80,2,4,1,44,0,109,8,33,5,12,0
"ARID1A",147,9,14,0,2,2,6,65,1,5,0,1,0,109,47,29,6,27,152,2,5,2,52,3,219,5,57,4,7,6
"PIGV",15,1,0,0,0,1,2,41,0,0,0,0,0,15,6,0,3,3,5,0,1,0,20,1,49,0,3,1,0,4
"ZDHHC18",54,4,11,0,0,0,0,16,0,0,0,0,0,29,20,6,1,3,33,1,0,0,10,0,146,2,5,0,5,4
"SFN",6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,156,0,10,1,0,0,0,0
"GPN2",42,5,8,0,0,1,3,22,1,2,1,0,0,47,24,8,3,10,49,2,1,2,28,0,134,0,21,3,4,3
"GPATCH3",33,0,3,0,0,0,0,30,0,1,0,1,0,33,15,3,4,8,43,0,2,1,13,0,77,1,10,0,0,4
"NUDC",294,15,55,2,4,8,23,351,3,12,1,6,4,248,153,71,35,71,330,7,5,9,211,1,1157,23,176,17,39,44
"NR0B2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"FAM46B",1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"SLC9A1",17,1,4,0,0,0,3,22,0,0,1,0,0,12,6,3,0,3,11,1,0,0,27,0,35,2,4,2,1,5
"WDTC1",40,2,6,0,0,0,1,17,0,1,0,0,0,27,13,4,0,6,48,2,0,0,16,0,85,1,25,1,4,3
"TMEM222",43,6,8,0,0,4,6,88,1,5,0,0,0,36,23,11,5,19,66,4,1,1,21,0,147,1,19,2,9,9
"SYTL1",22,13,16,0,2,6,0,14,0,6,3,2,0,193,72,37,2,60,276,7,7,3,5,0,858,2,61,0,20,4
"MAP3K6",7,1,2,0,0,0,2,15,1,0,0,0,0,9,4,2,1,3,19,0,0,0,2,0,49,0,6,0,2,2
"FCN3",1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,9,0,1,0,0,5
"GPR3",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"WASF2",655,19,68,0,1,2,16,327,2,12,1,1,7,264,90,49,40,113,330,17,8,5,128,4,564,32,125,4,33,54
"RP1-159A19.4",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0
"AHDC1",9,1,2,0,0,1,0,18,0,0,0,0,0,10,3,4,0,2,10,1,0,0,2,0,20,1,2,0,1,3
"FGR",22,3,45,2,1,0,0,2,0,0,0,0,0,26,2,4,0,20,8,1,10,2,0,0,28,14,5,1,0,1
"IFI6",247,21,33,6,4,4,80,337,0,9,3,3,0,63,116,51,24,11,164,6,5,6,46,6,474,12,13,7,27,64
"FAM76A",33,1,3,1,0,1,0,30,1,3,0,0,0,41,13,4,3,13,30,4,0,0,24,0,77,0,14,1,7,2
"STX12",233,4,21,0,1,3,2,78,1,3,2,0,0,69,26,19,8,28,81,2,0,2,74,1,240,5,36,4,6,15
"PPP1R8",82,5,14,4,1,2,6,83,0,2,2,0,1,81,36,16,8,29,95,4,2,1,33,1,245,2,56,7,11,12
"THEMIS2",284,0,52,1,2,1,0,29,0,3,0,0,1,57,18,4,1,9,40,4,0,1,1,1,587,24,9,1,7,2
"RPA2",131,12,20,2,1,2,9,153,0,5,1,2,0,214,71,41,14,53,236,1,5,5,41,1,403,13,79,14,27,18
"SMPDL3B",2,1,0,0,0,0,1,1,0,0,0,0,0,4,0,0,0,0,4,0,0,0,42,0,113,0,1,0,1,0
"XKR8",17,3,1,0,0,0,1,35,0,2,0,0,0,29,16,6,3,6,60,1,2,2,9,0,169,3,8,0,3,6
"EYA3",44,1,15,1,1,0,0,17,1,1,0,0,0,33,16,4,2,9,37,1,0,0,23,0,81,7,40,2,3,4
"PTAFR",157,0,27,0,0,0,0,3,0,1,0,1,0,19,4,2,0,4,15,1,0,0,1,0,26,6,17,0,2,20
"DNAJC8",346,28,62,4,2,3,23,308,0,19,2,5,3,293,177,91,32,118,487,14,11,7,136,4,878,17,267,27,54,45
"ATPIF1",744,66,115,14,14,19,35,543,1,36,6,7,8,702,335,179,55,200,1158,42,27,24,1607,6,3862,23,637,55,117,79
"RP5-1092A3.4",1,1,1,0,0,0,0,2,0,0,1,0,0,9,3,3,0,5,11,0,0,0,4,0,43,0,7,1,2,0
"SESN2",95,5,10,2,2,1,0,34,0,2,1,0,0,11,11,8,2,3,71,0,1,2,25,0,157,2,4,2,4,12
"MED18",15,0,2,1,0,1,2,7,0,1,0,0,0,22,9,0,3,2,19,0,0,0,11,0,41,0,15,1,2,1
"PHACTR4",87,3,5,1,0,1,6,50,0,2,1,1,0,59,21,12,3,9,53,2,2,3,37,1,134,3,17,1,5,14
"RCC1",54,1,11,1,0,0,0,27,0,1,0,0,0,40,16,5,2,19,49,2,0,1,24,1,78,1,68,5,4,4
"TRNAU1AP",72,5,13,2,2,3,2,60,0,4,0,0,0,95,28,18,5,31,113,4,0,4,37,0,193,6,71,8,16,4
"SNHG12",197,12,22,0,1,2,5,44,0,9,0,1,0,113,56,31,6,26,172,5,5,7,12,2,380,4,34,7,12,10
"TAF12",195,14,29,2,1,4,10,158,1,12,1,0,1,123,83,32,8,48,188,10,7,2,65,0,623,13,126,13,27,25
"RAB42",385,0,3,0,0,0,1,13,0,0,0,0,0,2,4,3,0,2,6,1,0,0,2,0,73,0,2,0,1,0
"RP11-442N24--B.1",7,0,0,0,0,0,0,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,10,1,1,0,0,1
"RNU11",2,1,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,21,0,2,0,0,0
"GMEB1",42,5,6,0,1,0,1,24,0,1,2,0,0,43,23,8,3,13,82,4,3,4,6,0,68,4,32,1,8,4
"YTHDF2",226,16,49,1,5,6,13,159,3,8,1,2,3,220,120,65,11,68,325,4,5,4,124,1,758,10,112,18,26,35
"EPB41",33,6,6,0,0,3,1,2,0,3,0,0,1,91,55,17,2,28,144,3,2,2,29,0,134,4,26,4,13,6
"TMEM200B",1,0,0,0,0,0,1,13,0,0,0,0,0,1,0,0,12,0,0,0,0,0,0,1,4,0,1,0,0,0
"SRSF4",193,12,22,2,2,1,13,157,1,6,3,0,2,155,83,39,19,52,250,6,1,3,85,2,616,3,109,11,29,23
"MECR",46,2,7,0,1,1,3,48,0,3,0,0,0,23,13,8,3,10,27,1,0,1,28,0,129,1,13,0,0,4
"MATN1",1,0,1,0,0,0,0,1,0,0,0,0,0,1,2,0,0,1,2,0,0,0,0,0,18,0,0,0,0,0
"MATN1-AS1",8,0,0,0,0,0,1,4,0,0,0,0,0,8,2,0,0,5,11,1,0,2,0,0,27,0,0,0,0,1
"LAPTM5",4050,101,345,10,13,21,5,142,2,49,9,4,15,2362,744,276,15,919,2741,74,23,32,36,2,1626,107,1488,33,272,35
"SDC3",350,0,3,0,0,0,10,80,0,0,1,0,0,3,4,3,9,0,6,0,0,0,1,0,66,9,1,1,1,6
"PUM1",119,7,11,0,2,0,2,67,0,4,0,1,0,67,25,9,8,22,86,5,0,5,55,0,162,5,24,0,10,9
"SNRNP40",101,11,19,0,2,0,3,91,1,7,1,2,2,102,65,26,9,35,150,1,4,4,83,2,269,2,80,17,13,13
"ZCCHC17",95,7,12,0,1,2,5,147,0,1,0,2,1,117,39,26,12,33,124,4,3,2,68,1,346,5,65,16,8,12
"FABP3",93,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,3,3,0,0,0,0,0,25,1,1,0,0,0
"SERINC2",57,0,1,0,0,0,0,6,0,0,0,0,0,5,7,0,0,2,9,0,0,0,295,0,35,0,11,0,0,3
"TINAGL1",6,1,0,0,0,0,0,2,0,0,0,0,0,6,1,0,0,0,5,0,0,0,85,30,20,0,1,0,1,53
"PEF1",92,6,13,2,0,0,9,139,0,3,0,0,3,70,48,18,18,27,107,2,4,4,62,4,246,8,53,6,9,39
"COL16A1",2,0,0,0,0,0,7,45,0,0,0,0,0,0,1,0,6,0,0,0,0,0,7,2,10,0,0,0,0,1
"SPOCD1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,2,0,0,0,1,0
"PTP4A2",641,41,162,0,1,7,12,224,4,19,6,4,1,389,181,87,13,59,437,24,8,13,210,2,1255,49,338,36,64,33
"KHDRBS1",357,20,65,1,8,6,12,280,3,10,3,5,2,351,155,56,32,106,530,11,7,11,140,6,868,25,345,37,45,31
"RP11-277A4.4",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1
"TMEM39B",30,1,7,0,0,1,3,64,0,2,0,0,0,31,6,5,2,7,46,0,2,1,15,0,130,0,36,3,2,12
"KPNA6",84,7,11,0,1,2,2,43,0,6,0,0,0,82,30,18,3,16,114,2,1,0,29,0,142,3,19,2,6,8
"TXLNA",81,3,6,0,0,1,0,42,0,5,0,0,0,38,19,12,1,7,32,0,2,2,16,2,165,3,15,2,4,5
"CCDC28B",32,1,5,0,0,0,4,104,0,1,0,1,0,40,10,4,8,12,57,3,0,0,2,1,69,1,90,4,4,2
"RP4-622L5.7",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0
"IQCC",3,0,0,0,1,0,0,9,0,0,0,0,0,0,1,0,1,1,6,1,1,0,5,0,4,0,5,0,0,0
"TMEM234",15,0,2,2,0,0,2,36,0,1,0,0,1,14,5,4,3,5,20,1,1,0,14,1,77,2,16,0,1,5
"EIF3I",294,18,89,2,1,1,18,373,0,20,2,2,4,351,173,74,37,125,527,18,10,13,267,4,1257,38,282,31,58,60
"FAM167B",6,2,2,0,0,1,3,5,0,0,0,0,0,8,3,2,0,0,2,0,0,1,2,0,31,0,2,0,1,178
"LCK",57,73,8,11,17,23,1,29,3,34,6,3,1,171,448,237,0,90,1291,42,22,42,12,2,289,1,165,44,138,8
"HDAC1",105,12,19,3,5,5,4,116,0,6,0,2,1,165,90,55,11,67,215,6,6,3,198,0,291,7,221,11,21,34
"MARCKSL1",311,22,98,1,7,8,29,213,0,12,1,1,1,462,110,64,12,308,420,14,4,7,500,3,1344,33,1232,12,27,102
"FAM229A",6,0,2,0,0,0,0,7,0,1,0,0,0,8,2,0,0,2,6,0,0,0,4,0,16,1,4,0,0,2
"BSDC1",55,8,10,1,0,4,9,101,0,6,0,1,0,142,54,39,14,43,205,8,3,3,32,1,329,6,43,1,15,9
"ZBTB8B",1,0,0,0,0,0,0,2,0,0,0,0,0,2,1,1,2,1,5,0,0,0,3,0,11,0,2,0,0,0
"ZBTB8A",8,1,3,0,0,0,3,33,0,1,1,0,0,12,3,5,2,1,15,1,0,1,13,0,75,2,12,0,3,3
