"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Enteric glia cells","Fibroblasts","gdTcells","Lymphatic ECs","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Vascular ECs","VSMCs"
"RP11-42I10.1",0,0,0,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0
"CTC-527H23.3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CBLN1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,2
"ZNF423",0,0,0,0,90,0,2,0,0,0,0,1,0,0,0,4,1,0,0,0,10,3
"CNEP1R1",6,0,3,1,42,0,1,5,0,0,2,2,0,1,0,6,0,0,10,0,4,2
"HEATR3",7,0,3,0,13,1,0,1,0,0,1,0,0,0,0,18,1,0,11,0,1,1
"PAPD5",5,0,1,4,39,1,2,3,2,2,4,0,0,0,0,23,1,3,9,0,19,7
"ADCY7",10,1,5,0,49,3,0,10,0,1,4,1,1,0,1,7,0,2,15,1,1,0
"BRD7",4,2,4,6,96,2,4,5,4,4,5,3,2,1,1,55,4,3,7,1,22,12
"NKD1",0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,6
"RP11-401P9.4",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"RP11-401P9.5",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SNX20",6,1,3,0,0,1,0,1,0,2,1,0,0,0,1,1,0,2,12,1,0,0
"NOD2",5,0,0,0,2,0,0,0,0,1,1,0,0,0,0,1,0,0,5,0,1,0
"RP11-327F22.2",0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0
"RP11-327F22.1",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"CYLD",16,9,5,5,85,5,1,13,11,33,10,2,4,2,4,11,2,10,26,5,25,8
"SALL1",0,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
"LINC01571",0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
"TOX3",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0
"CASC16",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-297L17.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0
"RP11-467J12.4",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-295M3.4",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0
